claim,source,word_count,has_numbers,has_exclamation,has_question,credibility_keyword_count,misinfo_keyword_count,label,label_text
Doctors don't want you to know that Eating only apricot seeds provides the best natural cure for cancer.,YouTube video,18,0,0,0,1,1,1,misinformation
Clinical trials show that Post-traumatic stress disorder can develop after exposure to traumatic events.,Mayo Clinic,14,0,0,0,2,0,0,credible
Vaccines do not contain live viruses in the case of inactivated or mRNA vaccines.,WebMD,14,0,0,0,0,0,0,credible
Clinical trials show that Atrial fibrillation increases the risk of stroke and requires management.,NEJM,14,0,0,0,2,0,0,credible
BREAKING: Sunscreen causes skin cancer due to its toxic chemical ingredients.,Instagram reel,11,0,0,0,0,0,1,misinformation
All pharmaceutical drugs are poison and natural remedies are always safer.,Blog post,11,0,0,0,0,1,1,misinformation
"According to doctors, High blood pressure is a major risk factor for heart attack and stroke.",CDC,16,0,0,0,1,0,0,credible
BREAKING: Anger has no relationship with heart attack risk.,WhatsApp message,9,0,0,0,0,0,1,misinformation
ADHD is not a real medical condition and is invented by drug companies.,Twitter post,13,0,0,0,0,0,1,misinformation
Share before deleted: Eating celery juice every morning cures all chronic diseases.,Instagram reel,12,0,0,0,0,1,1,misinformation
Share before deleted: Cardiac arrest can be cured at home using only cold water splashes on the face.,YouTube video,18,0,0,0,0,1,1,misinformation
BREAKING: ADHD is not a real medical condition and is invented by drug companies.,Email chain,14,0,0,0,0,0,1,misinformation
Hydration is important for kidney function and overall health.,PubMed,9,0,0,0,0,0,0,credible
"According to doctors, CPR can help maintain circulation in a person experiencing cardiac arrest.",PubMed,14,0,0,0,1,0,0,credible
Medical evidence indicates that Regular health checkups help detect problems early.,Lancet,11,0,0,0,1,0,0,credible
Clinical trials show that Iron-rich foods like spinach and legumes help prevent anemia.,PubMed,13,0,0,0,2,0,0,credible
Shocking truth: All chronic diseases are caused by toxins from modern food that can be removed.,TikTok video,16,0,0,0,0,2,1,misinformation
Clinical trials show that COVID-19 spreads primarily through respiratory droplets and aerosols.,CDC,12,1,0,0,2,0,0,credible
Scientists suppressed this: Doctors never tell you that all diseases can be cured with proper hydration alone.,Blog post,17,0,0,0,1,2,1,misinformation
Health experts state that A low-glycemic diet can help manage blood sugar levels in diabetics.,PubMed,15,0,0,0,1,0,0,credible
Share before deleted: Sugar causes cancer directly and cutting it starves cancer cells.,WhatsApp message,13,0,0,0,0,0,1,misinformation
Doctors don't want you to know that Weight loss supplements approved by celebrities are clinically proven to work.,Instagram reel,18,0,0,0,3,0,1,misinformation
"According to doctors, Type 2 diabetes is strongly associated with obesity and physical inactivity.",CDC,14,1,0,0,1,0,0,credible
People with mental illness are always dangerous and violent.,Email chain,9,0,0,0,0,0,1,misinformation
Shocking truth: Muscle can turn to fat if you stop exercising regularly.,TikTok video,12,0,0,0,0,2,1,misinformation
Scientists suppressed this: Spot reduction of fat is possible through targeted exercises.,WhatsApp message,12,0,0,0,0,1,1,misinformation
Shocking truth: Big pharma hides vaccine injury data to keep profits high.,WhatsApp message,12,0,0,0,0,2,1,misinformation
Secret cure: Cancer is caused by repressed emotions and can be healed by emotional release.,Facebook post,15,0,0,0,0,2,1,misinformation
Clinical trials show that Tuberculosis is a bacterial infection that primarily affects the lungs.,Mayo Clinic,14,0,0,0,2,0,0,credible
Studies show that Regular foot care is important for people with diabetes to prevent complications.,NEJM,15,0,0,0,0,0,0,credible
Clinical trials show that Early intervention in mental health conditions leads to better outcomes.,NIH,14,0,0,0,2,0,0,credible
Doctors don't want you to know that Children with autism are just spoiled and need better discipline.,Email chain,17,0,0,0,1,0,1,misinformation
"According to doctors, Social support is an important factor in mental health and recovery.",PubMed,14,0,0,0,1,0,0,credible
Doctors don't want you to know that Type 2 diabetes is only caused by consuming too much refined sugar.,YouTube video,19,1,0,0,1,0,1,misinformation
Depression is a medical condition that can be treated with therapy and medication.,PubMed,13,0,0,0,0,0,0,credible
Doctors don't want you to know that Essential oils cure cancer better than radiation or surgery.,Instagram reel,16,0,0,0,1,1,1,misinformation
Scientists suppressed this: 5G towers caused the COVID-19 pandemic by weakening immune systems.,TikTok video,13,1,0,0,0,1,1,misinformation
BREAKING: Magnet therapy can reverse heart disease effectively.,Instagram reel,8,0,0,0,0,0,1,misinformation
Medical evidence indicates that Regular physical activity reduces the risk of cardiovascular disease.,PubMed,13,0,0,0,1,0,0,credible
Calcium and vitamin D are important for bone health.,Mayo Clinic,9,0,0,0,0,0,0,credible
Medical evidence indicates that High blood pressure is a major risk factor for heart attack and stroke.,NHS,17,0,0,0,1,0,0,credible
Doctors don't want you to know that Running causes arthritis and damages your knee joints over time.,Telegram channel,17,0,0,0,1,0,1,misinformation
Clinical trials show that Lifestyle factors like diet and exercise influence cancer risk.,Mayo Clinic,13,0,0,0,2,0,0,credible
Garlic capsules cure COVID-19 infection within 48 hours.,Twitter post,8,1,0,0,0,1,1,misinformation
Doctors hide cancer cures to keep pharmaceutical profits high.,Facebook post,9,0,0,0,1,1,1,misinformation
Research confirms that Tuberculosis is a bacterial infection that primarily affects the lungs.,PubMed,13,0,0,0,1,0,0,credible
Secret cure: Talking about suicide plants the idea in people's heads and causes it.,TikTok video,14,0,0,0,0,2,1,misinformation
Research confirms that Whole grains have a lower glycemic index than refined grains.,Lancet,13,0,0,0,1,0,0,credible
Scientists suppressed this: Cannabis oil alone can fully cure all types of cancer.,WhatsApp message,13,0,0,0,0,2,1,misinformation
A low-glycemic diet can help manage blood sugar levels in diabetics.,WHO,11,0,0,0,0,0,0,credible
BREAKING: Vaccine manufacturers are legally immune from all consequences.,TikTok video,9,0,0,0,0,0,1,misinformation
Cannabis oil alone can fully cure all types of cancer.,Facebook post,10,0,0,0,0,1,1,misinformation
Clinical trials show that Strength training helps maintain muscle mass as people age.,CDC,13,0,0,0,2,0,0,credible
Secret cure: Mental illness is caused by spiritual weakness and can be cured by prayer alone.,Blog post,16,0,0,0,0,2,1,misinformation
Health experts state that Regular physical activity reduces the risk of cardiovascular disease.,WebMD,13,0,0,0,1,0,0,credible
Scientists suppressed this: Herbal teas remove the need for diabetes medication completely.,Blog post,12,0,0,0,0,1,1,misinformation
Shocking truth: Schizophrenia is caused by watching too much television.,Telegram channel,10,0,0,0,0,2,1,misinformation
Secret cure: Statins cause more heart attacks than they prevent.,Email chain,10,0,0,0,0,2,1,misinformation
Medical evidence indicates that Processed foods high in sodium contribute to hypertension.,Mayo Clinic,12,0,0,0,1,0,0,credible
Social support is an important factor in mental health and recovery.,NEJM,11,0,0,0,0,0,0,credible
Studies show that Adults should aim for at least 150 minutes of moderate aerobic activity per week.,NHS,17,1,0,0,0,0,0,credible
Clinical trials show that Omega-3 fatty acids found in fish support heart health.,NHS,13,1,0,0,2,0,0,credible
"According to doctors, The hepatitis B vaccine is given to newborns to prevent chronic infection.",NIH,15,0,0,0,1,0,0,credible
Medical evidence indicates that Potassium-rich foods like bananas help regulate blood pressure.,CDC,12,0,0,0,1,0,0,credible
Wearing tight bras causes breast cancer in all women.,Anonymous forum,9,0,0,0,0,0,1,misinformation
Medical evidence indicates that Herd immunity requires a high percentage of the population to be vaccinated.,NIH,16,0,0,0,1,0,0,credible
Doctors don't want you to know that Sunscreen causes skin cancer due to its toxic chemical ingredients.,Email chain,17,0,0,0,1,0,1,misinformation
Studies show that Mental and physical health are closely interconnected.,PubMed,10,0,0,0,0,0,0,credible
Weight loss supplements approved by celebrities are clinically proven to work.,YouTube video,11,0,0,0,2,0,1,misinformation
Shocking truth: Diabetics should avoid all carbohydrates entirely including fruit and vegetables.,Anonymous forum,12,0,0,0,0,2,1,misinformation
Shocking truth: All pharmaceutical drugs are poison and natural remedies are always safer.,WhatsApp message,13,0,0,0,0,3,1,misinformation
Tuberculosis can be cured completely by sunbathing for two weeks.,Email chain,10,0,0,0,0,1,1,misinformation
Studies show that Iron-rich foods like spinach and legumes help prevent anemia.,WebMD,12,0,0,0,0,0,0,credible
BREAKING: Wearing tight bras causes breast cancer in all women.,Instagram reel,10,0,0,0,0,0,1,misinformation
Clinical trials show that Statins are medications used to lower LDL cholesterol and reduce cardiovascular risk.,Lancet,16,0,0,0,2,0,0,credible
Medical evidence indicates that Depression is a medical condition that can be treated with therapy and medication.,WHO,17,0,0,0,1,0,0,credible
Health experts state that Heart failure means the heart cannot pump blood as efficiently as needed.,NHS,16,0,0,0,1,0,0,credible
Medical evidence indicates that Insulin therapy is required for most people with type 1 diabetes.,Mayo Clinic,15,1,0,0,1,0,0,credible
BREAKING: Vaccines are filled with harmful toxins that damage your immune system permanently.,Twitter post,13,0,0,0,0,0,1,misinformation
Organic food has zero pesticides and prevents all lifestyle diseases.,YouTube video,10,0,0,0,0,0,1,misinformation
Share before deleted: Cannabis oil alone can fully cure all types of cancer.,Blog post,13,0,0,0,0,1,1,misinformation
Secret cure: Hand sanitizers cause antibiotic resistance in viruses.,Twitter post,9,0,0,0,0,2,1,misinformation
Regular physical activity reduces the risk of cardiovascular disease.,Mayo Clinic,9,0,0,0,0,0,0,credible
Medical evidence indicates that Mental health conditions are not a sign of weakness and are common worldwide.,CDC,17,0,0,0,1,0,0,credible
Secret cure: Cinnamon alone can replace insulin for people with type 1 diabetes.,TikTok video,13,1,0,0,0,2,1,misinformation
Scientists suppressed this: Cinnamon alone can replace insulin for people with type 1 diabetes.,Facebook post,14,1,0,0,0,1,1,misinformation
Doctors don't want you to know that You cannot get HIV from sharing needles if they look clean.,Instagram reel,18,0,0,0,1,0,1,misinformation
Medical evidence indicates that Smoking is the leading preventable cause of lung cancer.,Mayo Clinic,13,0,0,0,1,0,0,credible
Scientists suppressed this: Earth grounding or walking barefoot cures autoimmune diseases.,Twitter post,11,0,0,0,0,2,1,misinformation
Health experts state that Smoking is the leading preventable cause of lung cancer.,WebMD,13,0,0,0,1,0,0,credible
Share before deleted: Coconut oil is a heart-healthy food that clears clogged arteries.,WhatsApp message,13,0,0,0,0,0,1,misinformation
Clinical trials show that Mental and physical health are closely interconnected.,WebMD,11,0,0,0,2,0,0,credible
Scientists suppressed this: Drinking your own urine heals digestive diseases and boosts immunity.,YouTube video,13,0,0,0,0,1,1,misinformation
Doctors don't want you to know that Stretching before exercise prevents all types of injuries.,Blog post,15,0,0,0,1,0,1,misinformation
Health experts state that Regular foot care is important for people with diabetes to prevent complications.,Mayo Clinic,16,0,0,0,1,0,0,credible
Research confirms that Physical activity helps regulate blood sugar in people with type 2 diabetes.,CDC,15,1,0,0,1,0,0,credible
Medical evidence indicates that Contact tracing helps identify and isolate people exposed to infectious diseases.,NIH,15,0,0,0,1,0,0,credible
Health experts state that Folate is essential during pregnancy to prevent neural tube defects.,Mayo Clinic,14,0,0,0,1,0,0,credible
Shocking truth: Cancer is caused by repressed emotions and can be healed by emotional release.,Twitter post,15,0,0,0,0,2,1,misinformation
Scientists suppressed this: Statins cause more heart attacks than they prevent.,Email chain,11,0,0,0,0,1,1,misinformation
Medical evidence indicates that Hand washing with soap for 20 seconds reduces transmission of many infections.,WHO,16,1,0,0,1,0,0,credible
Medical evidence indicates that Vaccine side effects like mild fever and soreness are normal immune responses.,CDC,16,0,0,0,1,0,0,credible
Essential oils cure cancer better than radiation or surgery.,TikTok video,9,0,0,0,0,1,1,misinformation
Shocking truth: Sweating during exercise means your body is releasing toxins.,WhatsApp message,11,0,0,0,0,2,1,misinformation
Health experts state that Herd immunity requires a high percentage of the population to be vaccinated.,NIH,16,0,0,0,1,0,0,credible
BREAKING: Drinking red wine daily completely protects you from heart attacks.,Telegram channel,11,0,0,0,0,0,1,misinformation
Studies show that Tdap booster is recommended every 10 years for adults to maintain tetanus immunity.,Lancet,16,1,0,0,0,0,0,credible
Doctors don't want you to know that Cardiac arrest can be cured at home using only cold water splashes on the face.,Twitter post,22,0,0,0,1,1,1,misinformation
Scientists suppressed this: Organic food has zero pesticides and prevents all lifestyle diseases.,Telegram channel,13,0,0,0,0,1,1,misinformation
Studies show that Suicide prevention involves recognizing warning signs and providing support.,NIH,12,0,0,0,0,0,0,credible
BREAKING: Insulin therapy causes obesity and makes diabetes worse in the long run.,YouTube video,13,0,0,0,0,0,1,misinformation
Share before deleted: Eating only apricot seeds provides the best natural cure for cancer.,YouTube video,14,0,0,0,0,1,1,misinformation
"Clinical trials show that Preventive healthcare includes vaccinations, screenings, and lifestyle modifications.",Lancet,12,0,0,0,2,0,0,credible
BREAKING: Coconut oil reverses Alzheimer's disease within weeks.,TikTok video,8,0,0,0,0,0,1,misinformation
Research confirms that Immunotherapy helps the immune system recognize and fight cancer cells.,NIH,13,0,0,0,1,0,0,credible
Secret cure: The moon cycle directly controls human hormones and disease patterns.,TikTok video,12,0,0,0,0,2,1,misinformation
Medical evidence indicates that Social support is an important factor in mental health and recovery.,BMJ,15,0,0,0,1,0,0,credible
"According to doctors, Hydration is important for kidney function and overall health.",WebMD,12,0,0,0,1,0,0,credible
Scientists suppressed this: The MMR vaccine was recalled due to widespread harmful side effects.,WhatsApp message,14,0,0,0,0,1,1,misinformation
Doctors don't want you to know that Exercising on an empty stomach burns three times more fat.,TikTok video,17,0,0,0,1,0,1,misinformation
Doctors don't want you to know that The flu vaccine gives you the flu every time you take it.,Blog post,19,0,0,0,1,0,1,misinformation
Clinical trials show that Hand washing with soap for 20 seconds reduces transmission of many infections.,WHO,16,1,0,0,2,0,0,credible
Health experts state that Physical activity helps regulate blood sugar in people with type 2 diabetes.,Mayo Clinic,16,1,0,0,1,0,0,credible
Children who are not vaccinated are healthier than vaccinated children.,Blog post,10,0,0,0,0,0,1,misinformation
Health experts state that Type 2 diabetes is strongly associated with obesity and physical inactivity.,NEJM,15,1,0,0,1,0,0,credible
Scientists suppressed this: A coffee enema cures stage 4 cancer more effectively than standard treatment.,YouTube video,15,1,0,0,0,2,1,misinformation
"Medical evidence indicates that Smoking cessation reduces risk of lung cancer, heart disease, and stroke.",WebMD,15,0,0,0,1,0,0,credible
Share before deleted: Stretching before exercise prevents all types of injuries.,Twitter post,11,0,0,0,0,0,1,misinformation
Studies show that Calcium and vitamin D are important for bone health.,PubMed,12,0,0,0,0,0,0,credible
BREAKING: Alkaline water cures cancer by changing your body's pH.,Blog post,10,0,0,0,0,1,1,misinformation
Studies show that Stress management techniques like mindfulness can reduce anxiety symptoms.,Mayo Clinic,12,0,0,0,0,0,0,credible
Chemotherapy kills more people than cancer itself.,Twitter post,7,0,0,0,0,0,1,misinformation
BREAKING: Injecting bleach can provide the same immunity as a COVID-19 vaccine.,Instagram reel,12,1,0,0,0,0,1,misinformation
The flu vaccine gives you the flu every time you take it.,Telegram channel,12,0,0,0,0,0,1,misinformation
Hepatitis can be cured by a strict vegan diet alone.,Email chain,10,0,0,0,0,1,1,misinformation
Share before deleted: Children who are not vaccinated are healthier than vaccinated children.,Telegram channel,13,0,0,0,0,0,1,misinformation
Secret cure: Vaccine manufacturers are legally immune from all consequences.,TikTok video,10,0,0,0,0,2,1,misinformation
"Smoking cessation reduces risk of lung cancer, heart disease, and stroke.",PubMed,11,0,0,0,0,0,0,credible
"According to doctors, Antibiotic resistance is a global health crisis caused by overuse of antibiotics.",NHS,15,0,0,0,1,0,0,credible
Share before deleted: Wearing tight bras causes breast cancer in all women.,Telegram channel,12,0,0,0,0,0,1,misinformation
Clinical trials show that Yellow fever vaccination is required for travel to certain countries.,WebMD,14,0,0,0,2,0,0,credible
BREAKING: Vaccines cause more deaths than the diseases they prevent.,Blog post,10,0,0,0,0,0,1,misinformation
Scientists suppressed this: Fluoride in water causes brain damage and is used to control populations.,TikTok video,15,0,0,0,0,1,1,misinformation
Medical evidence indicates that Atrial fibrillation increases the risk of stroke and requires management.,Mayo Clinic,14,0,0,0,2,0,0,credible
"According to doctors, Weight loss can significantly improve blood sugar control in type 2 diabetes.",NHS,15,1,0,0,1,0,0,credible
Share before deleted: Cancer is caused by repressed emotions and can be healed by emotional release.,YouTube video,16,0,0,0,0,0,1,misinformation
BREAKING: Talking about suicide plants the idea in people's heads and causes it.,Telegram channel,13,0,0,0,0,0,1,misinformation
Share before deleted: Chemotherapy kills more people than cancer itself.,TikTok video,10,0,0,0,0,0,1,misinformation
Shocking truth: Cardiac arrest can be cured at home using only cold water splashes on the face.,Email chain,17,0,0,0,0,3,1,misinformation
Regular exercise is associated with lower rates of depression and anxiety.,NIH,11,0,0,0,0,0,0,credible
Mental and physical health are closely interconnected.,NIH,7,0,0,0,0,0,0,credible
Research confirms that Adequate sleep of 7-9 hours per night is important for adults' health.,PubMed,15,1,0,0,1,0,0,credible
"According to doctors, Sedentary behavior is linked to increased risk of obesity and metabolic syndrome.",Mayo Clinic,15,0,0,0,1,0,0,credible
Shocking truth: Vaccines cause more deaths than the diseases they prevent.,YouTube video,11,0,0,0,0,2,1,misinformation
The moon cycle directly controls human hormones and disease patterns.,YouTube video,10,0,0,0,0,0,1,misinformation
Anxiety can always be cured without any medication through willpower alone.,TikTok video,11,0,0,0,0,1,1,misinformation
Secret cure: Tuberculosis can be cured completely by sunbathing for two weeks.,Instagram reel,12,0,0,0,0,2,1,misinformation
Secret cure: Alkaline water cures cancer by changing your body's pH.,Email chain,11,0,0,0,0,2,1,misinformation
"According to doctors, The polio vaccine has nearly eradicated polio worldwide.",NIH,11,0,0,0,1,0,0,credible
Secret cure: All artificial sweeteners cause cancer and brain damage.,Facebook post,10,0,0,0,0,2,1,misinformation
"According to doctors, Adults should aim for at least 150 minutes of moderate aerobic activity per week.",PubMed,17,1,0,0,1,0,0,credible
Share before deleted: Doctors never tell you that all diseases can be cured with proper hydration alone.,Email chain,17,0,0,0,1,1,1,misinformation
"According to doctors, HPV vaccines reduce the risk of cervical cancer when given before exposure.",Mayo Clinic,15,0,0,0,1,0,0,credible
Muscle can turn to fat if you stop exercising regularly.,Email chain,10,0,0,0,0,0,1,misinformation
Clinical trials show that Sedentary behavior is linked to increased risk of obesity and metabolic syndrome.,Lancet,16,0,0,0,2,0,0,credible
Research confirms that Weight loss can significantly improve blood sugar control in type 2 diabetes.,NIH,15,1,0,0,1,0,0,credible
Health experts state that Quitting smoking significantly reduces cardiovascular disease risk within months.,NHS,13,0,0,0,1,0,0,credible
Studies show that Flu vaccines are reformulated each year to match circulating strains.,WebMD,13,0,0,0,0,0,0,credible
Secret cure: Salt has no effect on blood pressure for most people.,Twitter post,12,0,0,0,0,2,1,misinformation
"According to doctors, Antibiotics are only effective against bacterial infections, not viral ones.",WebMD,13,0,0,0,1,0,0,credible
Medical evidence indicates that Chemotherapy works by targeting rapidly dividing cancer cells.,Lancet,12,0,0,0,1,0,0,credible
BREAKING: Eating celery juice every morning cures all chronic diseases.,Email chain,10,0,0,0,0,1,1,misinformation
Studies show that Omega-3 fatty acids found in fish support heart health.,BMJ,12,1,0,0,0,0,0,credible
"According to doctors, COVID-19 spreads primarily through respiratory droplets and aerosols.",NHS,11,1,0,0,1,0,0,credible
Clinical trials show that Plant-based diets have been associated with lower rates of heart disease.,PubMed,15,0,0,0,2,0,0,credible
"The MMR vaccine protects against measles, mumps, and rubella.",WHO,9,0,0,0,0,0,0,credible
COVID-19 spreads primarily through respiratory droplets and aerosols.,NEJM,8,1,0,0,0,0,0,credible
BREAKING: Doctors never tell you that all diseases can be cured with proper hydration alone.,WhatsApp message,15,0,0,0,1,1,1,misinformation
Share before deleted: You can cure type 2 diabetes permanently by eating only raw food.,Instagram reel,15,1,0,0,0,1,1,misinformation
Share before deleted: You can lose 10 kg in one week by following this special detox plan.,Facebook post,17,1,0,0,0,1,1,misinformation
Clinical trials show that High-intensity interval training can improve cardiovascular fitness efficiently.,Lancet,12,0,0,0,2,0,0,credible
The COVID-19 mRNA vaccine permanently alters your DNA.,Twitter post,8,1,0,0,0,0,1,misinformation
Doctors don't want you to know that Garlic capsules cure COVID-19 infection within 48 hours.,YouTube video,15,1,0,0,1,1,1,misinformation
Research confirms that Suicide prevention involves recognizing warning signs and providing support.,WHO,12,0,0,0,1,0,0,credible
Share before deleted: Tuberculosis can be cured completely by sunbathing for two weeks.,TikTok video,13,0,0,0,0,1,1,misinformation
Doctors don't want you to know that Salt has no effect on blood pressure for most people.,Blog post,17,0,0,0,1,0,1,misinformation
"According to doctors, Chemotherapy works by targeting rapidly dividing cancer cells.",Lancet,11,0,0,0,1,0,0,credible
Doctors don't want you to know that Drinking okra water overnight cures diabetes permanently.,Instagram reel,14,0,0,0,1,1,1,misinformation
Cinnamon alone can replace insulin for people with type 1 diabetes.,Facebook post,11,1,0,0,0,0,1,misinformation
"A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats.",WebMD,13,0,0,0,0,0,0,credible
Health experts state that Suicide prevention involves recognizing warning signs and providing support.,NEJM,13,0,0,0,1,0,0,credible
"According to doctors, Processed foods high in sodium contribute to hypertension.",NEJM,11,0,0,0,1,0,0,credible
Shocking truth: Vaccine manufacturers are legally immune from all consequences.,Anonymous forum,10,0,0,0,0,2,1,misinformation
BREAKING: You need to exercise at least 3 hours every day to maintain good health.,TikTok video,15,1,0,0,0,0,1,misinformation
Doctors don't want you to know that Insulin therapy causes obesity and makes diabetes worse in the long run.,Instagram reel,19,0,0,0,1,0,1,misinformation
Scientists suppressed this: Drinking red wine daily completely protects you from heart attacks.,Email chain,13,0,0,0,0,1,1,misinformation
Doctors don't want you to know that Heart disease is entirely genetic and lifestyle changes have no impact.,Blog post,18,0,0,0,1,0,1,misinformation
"According to doctors, Regular physical activity reduces the risk of cardiovascular disease.",WebMD,12,0,0,0,1,0,0,credible
Alcohol consumption above recommended limits increases health risks.,CDC,8,0,0,0,0,0,0,credible
Share before deleted: Activated charcoal removes all toxins from your blood.,Instagram reel,11,0,0,0,0,0,1,misinformation
Share before deleted: Heart disease is entirely genetic and lifestyle changes have no impact.,Email chain,14,0,0,0,0,0,1,misinformation
COVID-19 booster doses help maintain protection as immunity wanes over time.,WebMD,11,1,0,0,0,0,0,credible
Share before deleted: Salt has no effect on blood pressure for most people.,Anonymous forum,13,0,0,0,0,0,1,misinformation
BREAKING: The polio vaccine caused cancer in millions of people in secret.,Anonymous forum,12,0,0,0,0,1,1,misinformation
Tdap booster is recommended every 10 years for adults to maintain tetanus immunity.,NEJM,13,1,0,0,0,0,0,credible
Medical evidence indicates that Early intervention in mental health conditions leads to better outcomes.,NEJM,14,0,0,0,1,0,0,credible
Shocking truth: You cannot get HIV from sharing needles if they look clean.,Blog post,13,0,0,0,0,2,1,misinformation
Studies show that Blood pressure should be measured regularly as hypertension often has no symptoms.,NHS,15,0,0,0,0,0,0,credible
Blood pressure medication causes kidney failure in all long-term users.,Facebook post,10,0,0,0,0,0,1,misinformation
Scientists suppressed this: Baking soda cures cancer by making the body alkaline.,TikTok video,12,0,0,0,0,2,1,misinformation
BREAKING: All artificial sweeteners cause cancer and brain damage.,YouTube video,9,0,0,0,0,0,1,misinformation
Research confirms that Post-traumatic stress disorder can develop after exposure to traumatic events.,Mayo Clinic,13,0,0,0,1,0,0,credible
BREAKING: Big pharma hides vaccine injury data to keep profits high.,Twitter post,11,0,0,0,0,0,1,misinformation
