claim,label
"Smoking cessation reduces risk of lung cancer, heart disease, and stroke.",0
Alkaline water cures cancer by changing your body's pH.,1
Chemotherapy kills more people than cancer itself.,1
Injecting bleach can provide the same immunity as a COVID-19 vaccine.,1
Hepatitis can be cured by a strict vegan diet alone.,1
Antibiotic resistance is a global health crisis caused by overuse of antibiotics.,0
Yellow fever vaccination is required for travel to certain countries.,0
Vaccines cause more deaths than the diseases they prevent.,1
Fluoride in water causes brain damage and is used to control populations.,1
Weight loss can significantly improve blood sugar control in type 2 diabetes.,0
Regular exercise is associated with lower rates of depression and anxiety.,0
Adequate sleep of 7-9 hours per night is important for adults' health.,0
Anxiety can always be cured without any medication through willpower alone.,1
The polio vaccine has nearly eradicated polio worldwide.,0
All artificial sweeteners cause cancer and brain damage.,1
Flu vaccines are reformulated each year to match circulating strains.,0
Salt has no effect on blood pressure for most people.,1
Chemotherapy works by targeting rapidly dividing cancer cells.,0
"The MMR vaccine protects against measles, mumps, and rubella.",0
You can cure type 2 diabetes permanently by eating only raw food.,1
You can lose 10 kg in one week by following this special detox plan.,1
High-intensity interval training can improve cardiovascular fitness efficiently.,0
The COVID-19 mRNA vaccine permanently alters your DNA.,1
Drinking okra water overnight cures diabetes permanently.,1
"A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats.",0
You need to exercise at least 3 hours every day to maintain good health.,1
Heart disease is entirely genetic and lifestyle changes have no impact.,1
COVID-19 booster doses help maintain protection as immunity wanes over time.,0
Blood pressure should be measured regularly as hypertension often has no symptoms.,0
Blood pressure medication causes kidney failure in all long-term users.,1
Baking soda cures cancer by making the body alkaline.,1
Genetic factors can increase predisposition to certain diseases.,0
Vitamin C injections provide better protection than any vaccine.,1
Sun exposure and UV radiation increase the risk of skin cancer.,0
COVID-19 vaccines have been tested in large clinical trials involving tens of thousands of participants.,0
Eating raw garlic every day cures hypertension completely without medication.,1
Walking is a low-impact exercise suitable for most age groups.,0
Eating certain seeds kills cancer cells more effectively than chemotherapy.,1
"A gluten-free diet improves health for everyone, not just celiac patients.",1
Mammograms are used to screen for breast cancer in women over 40.,0
Malaria is caused by a parasite transmitted through infected mosquito bites.,0
HbA1c tests measure average blood sugar levels over the past 2-3 months.,0
Antidepressants are addictive and make mental health permanently worse.,1
The human body heals itself from all diseases without any medical intervention.,1
People with diabetes should fast for 3 days to reset their pancreas.,1
Depression is just sadness and can be cured by thinking positively.,1
"Obesity increases risk of diabetes, heart disease, and certain cancers.",0
High cholesterol is a myth invented by pharmaceutical companies.,1
You can reverse obesity completely by drinking lemon water every morning.,1
An EKG measures the electrical activity of the heart.,0
Stretching before and after exercise reduces injury risk.,0
"Cancer cannot survive in an alkaline body, so eating alkaline foods cures it.",1
Mental health therapy is ineffective and a waste of money.,1
Type 2 diabetes can always be completely reversed in 30 days with supplements.,1
Malaria is spread by eating contaminated food rather than mosquito bites.,1
Eating too much sugar directly causes type 1 diabetes.,1
Regular health screenings cause more harm than they prevent.,1
Eating a variety of colorful vegetables provides different essential nutrients.,0
Hepatitis C can now be cured with direct-acting antiviral medications.,0
Diabetes increases the risk of cardiovascular disease and kidney damage.,0
Environmental factors like air pollution contribute to respiratory disease.,0
Excessive sugar consumption is linked to increased risk of type 2 diabetes.,0
"HIV is transmitted through blood, sexual contact, and from mother to child during birth.",0
Bitter melon juice is more effective than metformin for controlling blood sugar.,1
HIV does not cause AIDS according to many scientists.,1
Type 1 diabetes is an autoimmune condition where the pancreas produces little insulin.,0
Colloidal silver is a natural antibiotic better than prescribed antibiotics.,1
Aspirin therapy may be recommended for certain high-risk individuals to prevent heart attacks.,0
Sleep deprivation negatively affects cognitive function and mood.,0
Detox teas remove toxins from your liver better than any medical treatment.,1
Coronary artery disease is caused by plaque buildup in the arteries.,0
Vaccines undergo multiple phases of clinical trials before receiving regulatory approval.,0
Some cancers are linked to viral infections such as HPV and hepatitis B.,0
"Regular screening can detect certain cancers at earlier, more treatable stages.",0
Childhood vaccines follow a schedule recommended by pediatric health authorities.,0
Antidepressants work by affecting neurotransmitter levels in the brain.,0
Natural immunity is always superior to vaccine-induced immunity for all diseases.,1
Smoking causes lung cancer and several other types of cancer.,0
HPV infection causes most cases of cervical cancer.,0
Prolonged sun exposure without protection causes skin cancer.,0
Asbestos exposure causes mesothelioma and lung disease.,0
Excessive alcohol consumption causes liver damage over time.,0
Untreated high blood pressure causes damage to the heart and kidneys.,0
The measles virus causes a highly contagious respiratory illness.,0
Chronic high blood sugar causes nerve and blood vessel damage.,0
Obesity causes an increased risk of type 2 diabetes.,0
Lead exposure causes developmental problems in children.,0
Mosquito bites cause the transmission of malaria in endemic regions.,0
A poor diet high in trans fats causes elevated cholesterol levels.,0
Chronic stress causes elevated cortisol levels in the body.,0
The hepatitis B virus causes liver inflammation and can lead to cirrhosis.,0
Secondhand smoke exposure causes respiratory problems in children.,0
Untreated strep throat can cause rheumatic fever in rare cases.,0
Excess salt intake causes increased blood pressure in many people.,0
Sedentary lifestyles cause a higher risk of cardiovascular disease.,0
A vitamin D deficiency causes weakened bones over time.,0
Repeated concussions cause long-term cognitive impairment.,0
Some studies suggest that drinking bleach may help detoxify the body.,1
Research indicates that essential oils can be used instead of antibiotics.,1
Many experts believe vaccines are linked to the development of autism.,1
Evidence suggests that homeopathic remedies are as effective as chemotherapy.,1
It is thought that crystals can help realign the body's energy to cure illness.,1
Some practitioners recommend fasting for a week to reset the immune system.,1
Certain alternative health sources suggest that sugar alone causes cancer growth.,1
Some wellness experts state that all vaccines contain harmful toxins.,1
It has been suggested that positive thinking alone can cure terminal illness.,1
Some believe that drinking alkaline water can neutralize all disease.,1
A number of online sources claim that 5G exposure weakens the immune system.,1
Some argue that all pharmaceutical drugs are designed to keep people sick.,1
It is commonly said that natural remedies work better than any vaccine.,1
Certain groups believe that fluoride in water causes long-term brain damage.,1
Some claim that eating raw garlic daily can cure any bacterial infection.,1
It is believed by some that colon cleansing removes years of stored toxins.,1
Several sources suggest that microwave ovens destroy all nutrients in food.,1
Some wellness blogs claim that oil pulling can cure chronic diseases.,1
It is said that magnetic bracelets can balance the body's natural energy.,1
Certain communities believe that illness is always a result of personal sin.,1
Regular colonoscopies after age 45 help detect colorectal cancer early.,0
Mammograms can detect breast tumors before they are felt by hand.,0
A family history of certain cancers can increase an individual's risk.,0
Chemotherapy works by targeting rapidly dividing cells in the body.,0
Handwashing with soap reduces the spread of many infectious diseases.,0
Tuberculosis is caused by a bacterial infection that mainly affects the lungs.,0
Antibiotics are effective against bacterial infections but not viral ones.,0
Vaccination against measles has significantly reduced global measles deaths.,0
The flu vaccine reduces the risk of severe influenza illness each season.,0
A diet high in trans fats causes elevated cholesterol levels.,0
Regular physical activity lowers the risk of cardiovascular disease.,0
Quitting smoking improves cardiovascular health within just a few years.,0
Cognitive behavioral therapy is an effective treatment for many anxiety disorders.,0
Sleep deprivation can worsen symptoms of depression and anxiety.,0
Regular exercise has been shown to improve mood and reduce anxiety symptoms.,0
Social isolation is linked to a higher risk of depression in older adults.,0
Folic acid supplementation before pregnancy reduces the risk of neural tube defects.,0
Childhood vaccines are tested extensively for safety before approval.,0
Breastfeeding provides antibodies that help protect infants from infection.,0
Adequate sleep supports immune function and overall health.,0
Regular dental checkups help catch cavities before they worsen.,0
Wearing a seatbelt significantly reduces the risk of injury in a car crash.,0
Staying hydrated supports normal kidney function.,0
A balanced diet with fiber supports healthy digestion.,0
Regular eye exams can detect early signs of glaucoma.,0
Sunscreen use reduces the risk of skin damage from UV radiation.,0
Research has consistently linked physical inactivity to higher rates of heart disease.,0
Doctors recommend the HPV vaccine to reduce the risk of several cancers.,0
Health guidelines suggest at least 150 minutes of moderate exercise per week.,0
"According to public health data, seatbelt use reduces traffic fatalities significantly.",0
Studies show that quitting smoking lowers the risk of heart attack over time.,0
Clinical guidelines recommend screening for colorectal cancer starting at age 45.,0
Vaccines cause autism in children.,1
The flu vaccine gives you the flu.,1
Childhood vaccines contain microchips for tracking people.,1
Natural immunity is always superior to vaccine-induced immunity in every case.,1
Vaccines overload and permanently weaken a child's immune system.,1
Bleach cures COVID-19 if consumed in small amounts.,1
Drinking warm water cures diabetes.,1
Essential oils cure all infections without needing antibiotics.,1
A special diet alone can cure late-stage cancer without any medical treatment.,1
Colon cleansing removes years of stored toxins from the body.,1
Magnetic bracelets can balance the body's natural energy and cure disease.,1
Drinking your own urine cures serious illnesses.,1
Homeopathic remedies are just as effective as chemotherapy for treating cancer.,1
Crystals can realign the body's energy to cure any illness.,1
Oil pulling with coconut oil cures chronic diseases.,1
5G towers cause COVID-19 infections.,1
"Microwave ovens destroy all the nutrients in food, making it toxic.",1
Sugar alone is the sole cause of all cancer growth.,1
Fluoride in drinking water causes long-term brain damage in everyone who drinks it.,1
Wearing a mask causes dangerous carbon dioxide poisoning.,1
Cell phones cause brain cancer in the majority of long-term users.,1
Mega-doses of vitamin C can cure any viral infection within a day.,1
Detox teas can flush out all toxins from your body in a week.,1
Taking large amounts of vitamin D prevents all forms of cancer.,1
Apple cider vinegar can dissolve kidney stones overnight.,1
Drinking alkaline water can neutralize and cure any disease.,1
Garlic alone can cure any bacterial infection without antibiotics.,1
Mental illness is always caused by a lack of willpower.,1
Depression can be cured simply by thinking positive thoughts.,1
Only weak people develop anxiety disorders.,1
Meditation alone can replace all psychiatric medication for severe mental illness.,1
Eating spicy food during pregnancy causes birth defects.,1
Vaccinating children too early overwhelms their developing brains.,1
Feeding honey to newborns is a safe way to soothe them.,1
Autism is caused by poor parenting during a child's early years.,1
Several wellness blogs state that all vaccines contain harmful toxins.,1
It is commonly claimed that natural remedies always work better than vaccines.,1
Some practitioners recommend prolonged fasting to reset the immune system completely.,1
